Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P44026	Y633_HAEIN	reviewed	Uncharacterized protein HI_0633	HI_0633	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	98
P43851	PUR7_HAEIN	reviewed	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6) (SAICAR synthetase)	purC HI_1726	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	290
P66457	RS18_HAEIN	reviewed	30S ribosomal protein S18	rpsR rps18 HI_0545	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	75
P44971	TBPB_HAEIN	reviewed	Transferrin-binding protein B (TbpB) (Transferrin-binding protein 2)	tbpB tbp2 HI_0995	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	625
Q57134	Y1008_HAEIN	reviewed	Uncharacterized protein HI_1008	HI_1008	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	112
P44259	Y1570_HAEIN	reviewed	Uncharacterized protein HI_1570	HI_1570	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	169
Q57048	Y020_HAEIN	reviewed	Uncharacterized transporter HI_0020	HI_0020	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	479
P44396	UREG_HAEIN	reviewed	Urease accessory protein UreG	ureG HI_0536	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	225
P44232	VG38_HAEIN	reviewed	Mu-like prophage FluMu protein gp38	HI_1510	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	63
P44224	VG28_HAEIN	reviewed	Mu-like prophage FluMu protein gp28	HI_1500	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	508
P71389	VPN_HAEIN	reviewed	Mu-like prophage FluMu DNA circularization protein	HI_1515	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	455
P43953	Y149_HAEIN	reviewed	Uncharacterized protein HI_0149	HI_0149	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	63
P44555	Y183_HAEIN	reviewed	Uncharacterized transporter HI_0183	HI_0183	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	481
P45154	Y1309_HAEIN	reviewed	Uncharacterized ferredoxin-like protein HI_1309	HI_1309	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	82
P43943	Y109_HAEIN	reviewed	Uncharacterized protein HI_0109	HI_0109	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	113
P44693	Y409_HAEIN	reviewed	Uncharacterized metalloprotease HI_0409 (EC 3.4.24.-)	HI_0409	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	475
Q57133	Y973_HAEIN	reviewed	Uncharacterized protein HI_0973	HI_0973	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	289
P44019	Y586_HAEIN	reviewed	Putative uncharacterized transporter HI_0586	HI_0586	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	145
P43827	SYL_HAEIN	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS HI_0921	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	861
P43824	SYI_HAEIN	reviewed	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS HI_0962	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	941
Q57549	TPX_HAEIN	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	tpx HI_0751	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	165
P71354	TRKA_HAEIN	reviewed	Trk system potassium uptake protein TrkA (K(+)-uptake protein TrkA)	trkA HI_0625	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	458
P45122	Y1240_HAEIN	reviewed	UPF0126 membrane protein HI_1240	HI_1240	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	220
P44133	Y1241_HAEIN	reviewed	Uncharacterized protein HI_1241	HI_1241	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	266
P44978	Y1009_HAEIN	reviewed	Uncharacterized HTH-type transcriptional regulator HI_1009	HI_1009	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	256
P43704	TOP3_HAEIN	reviewed	DNA topoisomerase 3 (EC 5.6.2.1) (DNA topoisomerase III)	topB HI_0444	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	651
P44115	Y1128_HAEIN	reviewed	Uncharacterized protein HI_1128	HI_1128	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	58
P45312	Y1677_HAEIN	reviewed	Probable iron-sulfur cluster repair protein HI_1677	HI_1677	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	223
P44117	Y1168_HAEIN	reviewed	UPF0265 protein HI_1168	HI_1168	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	114
P44262	Y1581_HAEIN	reviewed	Uncharacterized protein HI_1581/HI_1582	HI_1581/HI_1582	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	191
P71339	Y112_HAEIN	reviewed	Uncharacterized protein HI_0112	HI_0112	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	98
P44289	Y1680_HAEIN	reviewed	Uncharacterized protein HI_1680	HI_1680	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	718
P44279	Y1631_HAEIN	reviewed	Uncharacterized protein HI_1631	HI_1631	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	190
P71336	Y052_HAEIN	reviewed	Uncharacterized protein HI_0052	HI_0052	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	328
P45301	Y1658_HAEIN	reviewed	Uncharacterized protein HI_1658	HI_1658	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	193
P44148	Y1269_HAEIN	reviewed	Uncharacterized protein HI_1269	HI_1269	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	38
P44483	Y050_HAEIN	reviewed	Putative TRAP transporter large permease protein HI_0050	HI_0050	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	401
P44225	VG29_HAEIN	reviewed	Mu-like prophage FluMu protein gp29	HI_1501	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	520
P44196	Y1427_HAEIN	reviewed	Uncharacterized protein HI_1427	HI_1427	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	278
P43782	Y162_HAEIN	reviewed	Uncharacterized lipoprotein HI_0162	HI_0162	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	199
P31811	Y847_HAEIN	reviewed	UPF0438 protein HI_0847 (ORF3)	HI_0847	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	111
P44065	Y870_HAEIN	reviewed	Uncharacterized protein HI_0870	HI_0870	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	34
P44074	Y912_HAEIN	reviewed	Uncharacterized protein HI_0912	HI_0912	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	254
Q57424	Y647_HAEIN	reviewed	Uncharacterized protein HI_0647	HI_0647	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	238
P71346	YFIA_HAEIN	reviewed	Ribosome-associated factor Y (pY) (Ribosome associated inhibitor A)	yfiA raiA HI_0257	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	107
P43981	YQGF_HAEIN	reviewed	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	HI_0305	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	139
P44692	ZNUC_HAEIN	reviewed	Zinc import ATP-binding protein ZnuC (EC 7.2.2.20)	znuC HI_0408	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	268
P45057	RSMH_HAEIN	reviewed	Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH)	rsmH mraW HI_1130	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	321
P44633	RUVC_HAEIN	reviewed	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC)	ruvC HI_0314	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	190
P43911	SELD_HAEIN	reviewed	Selenide, water dikinase (EC 2.7.9.3) (Selenium donor protein) (Selenophosphate synthase)	selD HI_0200	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	346
P43819	SYFA_HAEIN	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS HI_1311	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	329
P45142	TRUB_HAEIN	reviewed	tRNA pseudouridine synthase B (EC 5.4.99.25) (tRNA pseudouridine(55) synthase) (Psi55 synthase) (tRNA pseudouridylate synthase) (tRNA-uridine isomerase)	truB HI_1289	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	312
P44492	TSAE_HAEIN	reviewed	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE (t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE)	tsaE yjeE HI_0065	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	158
O86239	Y143B_HAEIN	reviewed	Uncharacterized protein HI_1436.2	HI_1436.2	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	54
P44300	Y1736_HAEIN	reviewed	Uncharacterized protein HI_1736	HI_1736	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	77
P44171	Y1386_HAEIN	reviewed	Uncharacterized protein HI_1386	HI_1386	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	148
P44135	Y1246_HAEIN	reviewed	Uncharacterized protein HI_1246	HI_1246	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	647
P43944	Y114_HAEIN	reviewed	Uncharacterized protein HI_0114	HI_0114	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	38
P44151	Y1280_HAEIN	reviewed	Uncharacterized protein HI_1280	HI_1280	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	91
P44150	Y1273_HAEIN	reviewed	Uncharacterized protein HI_1273	HI_1273	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	268
P44154	Y1292_HAEIN	reviewed	Uncharacterized protein HI_1292	HI_1292	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	261
P43988	Y366_HAEIN	reviewed	Uncharacterized protein HI_0366	HI_0366	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	179
P43968	Y234_HAEIN	reviewed	Uncharacterized protein HI_0234	HI_0234	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	48
P44003	Y487_HAEIN	reviewed	Uncharacterized protein HI_0487	HI_0487	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	125
P43992	Y391_HAEIN	reviewed	Uncharacterized protein HI_0391	HI_0391	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	182
P44075	Y925_HAEIN	reviewed	Uncharacterized protein HI_0925	HI_0925	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	121
P44808	YHES_HAEIN	reviewed	Probable ATP-binding protein YheS	yheS HI_0658	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	638
P44677	TOLB_HAEIN	reviewed	Tol-Pal system protein TolB	tolB HI_0382	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	427
P44701	SRMB_HAEIN	reviewed	ATP-dependent RNA helicase SrmB (EC 3.6.4.13)	srmB HI_0422	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	439
P44248	Y1543_HAEIN	reviewed	Uncharacterized protein HI_1543	HI_1543	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	184
O86242	Y149A_HAEIN	reviewed	Uncharacterized protein HI_1498.1	HI_1498.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	102
P44116	Y1162_HAEIN	reviewed	Uncharacterized protein HI_1162	HI_1162	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	157
P44278	Y1626_HAEIN	reviewed	Uncharacterized protein HI_1626	HI_1626	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	238
P43975	Y275_HAEIN	reviewed	Uncharacterized protein HI_0275	HI_0275	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	551
P44005	Y489_HAEIN	reviewed	Uncharacterized protein HI_0489	HI_0489	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	157
P44743	Y520_HAEIN	reviewed	Putative glycyl-radical enzyme activating enzyme HI_0520 (GRE activating enzyme HI_0520) (EC 1.97.1.-)	HI_0520	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	262
P44010	Y507_HAEIN	reviewed	UPF0114 protein HI_0507	HI_0507	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	183
P44163	Y1327_HAEIN	reviewed	Uncharacterized protein HI_1327	HI_1327	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	45
P45215	Y1459_HAEIN	reviewed	Probable RNA polymerase sigma factor HI_1459	HI_1459	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	194
P44296	Y1718_HAEIN	reviewed	Uncharacterized protein HI_1718	HI_1718	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	261
Q57335	Y036_HAEIN	reviewed	Uncharacterized ABC transporter ATP-binding protein HI_0036	HI_0036	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	592
P71375	Y1315_HAEIN	reviewed	Putative uncharacterized symporter HI_1315	HI_1315	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	105
P43941	Y100_HAEIN	reviewed	Uncharacterized protein HI_0100	HI_0100	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	131
P44818	XERC_HAEIN	reviewed	Tyrosine recombinase XerC	xerC HI_0676	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	295
O86237	Y138A_HAEIN	reviewed	Uncharacterized protein HI_1388.1	HI_1388.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	128
P44941	Y933_HAEIN	reviewed	Uncharacterized protein HI_0933	HI_0933	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	401
P44079	Y938_HAEIN	reviewed	Uncharacterized protein HI_0938	HI_0938	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	170
P44680	Y387_HAEIN	reviewed	Probable ATP-dependent DNA helicase HI_0387 (EC 3.6.4.12)	HI_0387	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	640
O86229	Y870A_HAEIN	reviewed	Uncharacterized protein HI_0870.1	HI_0870.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	96
P44681	YCHF_HAEIN	reviewed	Ribosome-binding ATPase YchF	ychF engD HI_0393	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	363
O05069	TRA_HAEIN	reviewed	Mu-like prophage FluMu transposase A	HI_1478	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	687
P44170	Y1376_HAEIN	reviewed	Uncharacterized protein HI_1376	HI_1376	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	291
P44260	Y1571_HAEIN	reviewed	Uncharacterized protein HI_1571	HI_1571	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	79
P45019	Y1073_HAEIN	reviewed	UPF0382 membrane protein HI_1073	HI_1073	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	124
P24326	Y350_HAEIN	reviewed	Uncharacterized protein HI_0350 (ORF3)	HI_0350	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	425
P44593	Y242_HAEIN	reviewed	Putative sulfur carrier protein HI_0242	HI_0242	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	73
P43993	Y392_HAEIN	reviewed	Uncharacterized protein HI_0392	HI_0392	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	245
P44921	YACG_HAEIN	reviewed	DNA gyrase inhibitor YacG	yacG HI_0891	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	64
O86227	Y602A_HAEIN	reviewed	Uncharacterized protein HI_0602.1	HI_0602.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	174
P44973	YIDC_HAEIN	reviewed	Membrane protein insertase YidC (Foldase YidC) (Membrane integrase YidC) (Membrane protein YidC)	yidC HI_1001	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	541
P44127	Y1205_HAEIN	reviewed	UPF0208 membrane protein HI_1205	HI_1205	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	147
Q48215	Y1695_HAEIN	reviewed	Uncharacterized glycosyltransferase HI_1695 (EC 2.4.-.-)	HI_1695	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	267
P44397	URED_HAEIN	reviewed	Urease accessory protein UreD	ureD ureH HI_0535	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	261
P43951	Y131_HAEIN	reviewed	Uncharacterized protein HI_0131	HI_0131	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	346
P44096	Y1034_HAEIN	reviewed	UPF0234 protein HI_1034	HI_1034	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	163
P44158	Y1310_HAEIN	reviewed	Uncharacterized protein HI_1310	HI_1310	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	253
P44205	Y1469_HAEIN	reviewed	Uncharacterized protein HI_1469	HI_1469	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	115
P44156	Y1293_HAEIN	reviewed	Uncharacterized SufE-like protein HI_1293	HI_1293	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	126
P44120	Y1176_HAEIN	reviewed	Uncharacterized protein HI_1176	HI_1176	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	73
P43966	Y228_HAEIN	reviewed	Uncharacterized protein HI_0228	HI_0228	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	124
P44711	Y442_HAEIN	reviewed	Nucleoid-associated protein HI_0442	HI_0442	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	109
P43995	Y420_HAEIN	reviewed	Uncharacterized protein HI_0420	HI_0420	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	99
P44040	Y704_HAEIN	reviewed	Uncharacterized protein HI_0704	HI_0704	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	61
P45244	Y1542_HAEIN	reviewed	Putative NAD(P)H nitroreductase HI_1542 (EC 1.-.-.-)	HI_1542	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	184
P44216	Y1490_HAEIN	reviewed	Uncharacterized protein HI_1490	HI_1490	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71
P44221	Y1497_HAEIN	reviewed	Uncharacterized protein HI_1497	HI_1497	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	75
P45335	Y1706_HAEIN	reviewed	Uncharacterized transporter HI_1706	HI_1706	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	669
P44099	Y1038_HAEIN	reviewed	Uncharacterized protein HI_1038	HI_1038	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	400
P71394	Y1627_HAEIN	reviewed	RutC family protein HI_1627	HI_1627	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	116
P43976	Y278_HAEIN	reviewed	Uncharacterized protein HI_0278	HI_0278	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	221
P44207	Y1476_HAEIN	reviewed	Uncharacterized HTH-type transcriptional regulator HI_1476	HI_1476	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	239
P45146	Y1298_HAEIN	reviewed	Uncharacterized protein HI_1298	HI_1298	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	231
O05071	Y1494_HAEIN	reviewed	Uncharacterized protein HI_1494	HI_1494	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	116
P44227	VPT_HAEIN	reviewed	Mu-like prophage FluMu major head subunit	HI_1505	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	308
P44095	Y1016_HAEIN	reviewed	Uncharacterized protein HI_1016	HI_1016	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	142
Q57320	Y1307_HAEIN	reviewed	Uncharacterized membrane protein HI_1307	HI_1307	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	210
P44002	Y476_HAEIN	reviewed	Uncharacterized protein HI_0476	HI_0476	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	50
P44190	Y1419_HAEIN	reviewed	Uncharacterized protein HI_1419	HI_1419	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	99
P44244	Y1524_HAEIN	reviewed	Uncharacterized protein HI_1524	HI_1524	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	50
P45245	Y1544_HAEIN	reviewed	Uncharacterized NAD(P)H oxidoreductase HI_1544 (EC 1.6.99.-)	HI_1544	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	202
P45114	Y1217_HAEIN	reviewed	Probable TonB-dependent receptor HI_1217	HI_1217	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	913
P43940	Y096_HAEIN	reviewed	Uncharacterized protein HI_0096	HI_0096	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	191
P44273	Y1620_HAEIN	reviewed	Uncharacterized protein HI_1620	HI_1620	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	167
P44143	Y1257_HAEIN	reviewed	Uncharacterized protein HI_1257	HI_1257	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	57
P43938	Y083_HAEIN	reviewed	Uncharacterized protein HI_0083	HI_0083	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	71
P77868	Y290_HAEIN	reviewed	Probable cation-transporting ATPase HI_0290 (EC 7.2.2.-)	HI_0290	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	722
P44842	Y722_HAEIN	reviewed	IMPACT family member HI_0722	HI_0722	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	206
P71355	Y663_HAEIN	reviewed	Uncharacterized ABC transporter ATP-binding protein HI_0663	HI_0663	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	560
P44033	Y665_HAEIN	reviewed	Putative kinase HI_0665 (EC 2.-.-.-)	HI_0665	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	343
P46494	Y656A_HAEIN	reviewed	Uncharacterized protein HI_0656.1	HI_0656.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	178
Q57500	Y894_HAEIN	reviewed	Uncharacterized protein HI_0894	HI_0894	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	382
P44377	RS8_HAEIN	reviewed	30S ribosomal protein S8	rpsH rps8 HI_0792	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	130
P44889	TRPR_HAEIN	reviewed	Trp operon repressor homolog	trpR HI_0830	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	101
P44658	Y357_HAEIN	reviewed	Putative thiamine biosynthesis protein HI_0357	HI_0357	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	314
O32622	Y292_HAEIN	reviewed	Uncharacterized protein HI_0292	HI_0292	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	68
P44241	VG48_HAEIN	reviewed	Mu-like prophage FluMu protein gp48	HI_1521	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	168
P45198	Y1424_HAEIN	reviewed	Putative integrase/recombinase HI_1414	HI_1424	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	304
P44293	Y1709_HAEIN	reviewed	Uncharacterized protein HI_1709	HI_1709	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	121
P44294	Y1710_HAEIN	reviewed	Uncharacterized protein HI_1710	HI_1710	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	46
Q57273	Y1119_HAEIN	reviewed	Uncharacterized protein HI_1119	HI_1119	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	292
P44219	Y1495_HAEIN	reviewed	Uncharacterized protein HI_1495	HI_1495	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	86
P44675	Y379_HAEIN	reviewed	Putative HTH-type transcriptional regulator HI_0379	HI_0379	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	150
P44070	Y902_HAEIN	reviewed	Probable membrane transporter protein HI_0902	HI_0902	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	264
P44864	Y756_HAEIN	reviewed	Uncharacterized protein HI_0756	HI_0756	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	410
O05023	Y493_HAEIN	reviewed	Uncharacterized transposase-like protein HI_0493	HI_0493	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	118
