FORMATTED_ID,FORMATTED_BATCH_ID,BARCODE,WELL_REF,CAS_NO,CID,SMILES,STRUCTURE_NAME,SUPPLIER,SUPPLIER_REF
CBP-0016927,CBP-0016927-01,A049,O17,117354-64-0,1564,NCC(O)(CS(=O)(=O)O)c1ccc(cc1)Cl,2-Hydroxysaclofen,Lopac_Sigma,40814_LOPAC_Sigma_A 6566
CBP-0016942,CBP-0016942-01,A049,O18,27208-38-4,2331,NC(=O)c1ccccc1,Benzamide,Lopac_Sigma,40830_LOPAC_Sigma_B 2009
CBP-0016956,CBP-0016956-01,A049,O19,13138-33-5,97587,NCCCP(=O)(O)O,3-Aminopropylphosphonic acid,Lopac_Sigma,40846_LOPAC_Sigma_A 7162
CBP-0016972,CBP-0016972-01,A049,O20,71765-30-5,21157,CCCCS(=N)(=O)CCC(N)C(=O)O,BUTHIONINE SULFOXIMINE,Lopac_Sigma,40862_LOPAC_Sigma_B 2640
CBP-0016988,CBP-0016988-01,A049,O21,84468-17-7,3544,NCCNS(=O)(=O)c1cccc2cnccc12,N-(2-aminoethyl)isoquinoline-5-sulfonamide,Lopac_Sigma,40878_LOPAC_Sigma_A 7795
CBP-0017004,CBP-0017004-01,A049,O22,132-21-8,16960,CN(C)CC[C@@H](c1ccc(cc1)Br)c1ccccn1,Dexbrompheniramine,Lopac_Sigma,40894_LOPAC_Sigma_B 5275
CBP-0016682,CBP-0016682-01,A049,P01,322-35-0,2327,NC(CO)C(=O)NNCc1ccc(c(c1O)O)O,benserazide,Lopac_Sigma,40559_LOPAC_Sigma_B 7283
CBP-0016698,CBP-0016698-01,A049,P02,16699-20-0,1547484,C1CN(CCN1C/C=C/c1ccccc1)C(c1ccccc1)c1ccccc1,cinnarizine,Lopac_Sigma,40575_LOPAC_Sigma_C 5270
CBP-0016713,CBP-0016713-01,A049,P03,433695-36-4,2921148,CN(C)S(=O)(=O)c1cc(ccc1C)[N+](=O)[O-],BRL-50481,Lopac_Sigma,40591_LOPAC_Sigma_B 0936
CBP-0016729,CBP-0016729-01,A049,P04,117829-71-7,2812,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,clotrimazole,Lopac_Sigma,40607_LOPAC_Sigma_C 6019
CBP-0016744,CBP-0016744-01,A049,P05,102737-84-8,4768,CC(COc1ccccc1)N(CCCl)Cc1ccccc1,phenoxybenzamine,Lopac_Sigma,40623_LOPAC_Sigma_B-019
CBP-0016760,CBP-0016760-01,A049,P06,147-94-4,6253,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,Cytarabine,Lopac_Sigma,40639_LOPAC_Sigma_C 6645
CBP-0016776,CBP-0016776-01,A049,P07, ,4400,CCNC(=O)C1OC(C(O)C1O)n1cnc2c(ncnc12)NCc1ccccc1,N6-Benzyl-NECA,Lopac_Sigma,40655_LOPAC_Sigma_B-152
CBP-0016791,CBP-0016791-01,A049,P08,53095-21-9,11957499,CNc1ccc2oc(nc2c1C(=O)O)C[C@H]1O[C@@]2(CC[C@H]1C)O[C@@H]([C@H](C)C[C@H]2C)[C@H](C)C(=O)c1ccc[nH]1,Calcimycin,Lopac_Sigma,40671_LOPAC_Sigma_C 7522
CBP-0016805,CBP-0016805-01,A049,P09, , ,CN(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=NC1=O)N, ,Lopac_Sigma,40687_LOPAC_Sigma_C 0256
CBP-0016820,CBP-0016820-01,A049,P10,28874-45-5,2544,CC1(C2CCC(O2)C1(C)C(=O)O)C(=O)O,cantharidic acid,Lopac_Sigma,40703_LOPAC_Sigma_C 8088
CBP-0016836,CBP-0016836-01,A049,P11,6055-19-2,2907,ClCCN(CCCl)P1(=O)NCCCO1,Cyclophosphamide,Lopac_Sigma,40719_LOPAC_Sigma_C 0768
CBP-0016850,CBP-0016850-01,A049,P12,8053-63-2,2576,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,carisoprodol,Lopac_Sigma,40735_LOPAC_Sigma_C 8759
CBP-0016865,CBP-0016865-01,A049,P13,4584-39-8,4059895,COc1ccc2n(c(c(c2c1)CC(=O)O)C)Cc1ccc(cc1)Cl,1-(4-Chlorobenzyl)-5-methoxy-2-methylindole-3-acetic acid,Lopac_Sigma,40751_LOPAC_Sigma_C 1610
CBP-0016881,CBP-0016881-01,A049,P14,2219-31-0,439202,N[C@@H](CCONC(=N)N)C(=O)O,L-canavanine,Lopac_Sigma,40767_LOPAC_Sigma_C 9758
CBP-0016896,CBP-0016896-01,A049,P15,53-06-5,222786,C[C@@]12CCC(=O)C=C2CC[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)CC(=O)[C@@H]21,cortisone,Lopac_Sigma,40783_LOPAC_Sigma_C 2755
CBP-0016912,CBP-0016912-01,A049,P16,35873-49-5,1917,CN1C(=O)N(C)c2nc([nH]c2C1=O)C1CCCC1,"8-Cyclopentyl-1,3-dimethylxanthine",Lopac_Sigma,40799_LOPAC_Sigma_C-102
CBP-0016928,CBP-0016928-01,A049,P17,23434-96-0,26532,COC(=O)C(N)Cc1ccc(cc1)Cl,Methyl 2-amino-3-(4-chlorophenyl)propanoate,Lopac_Sigma,40815_LOPAC_Sigma_C 3635
CBP-0016943,CBP-0016943-01,A049,P18,80751-65-1,1225,Oc1cc2c(c(c1O)Cl)CCN(CC=C)CC2c1ccccc1,Cl-Apb,Lopac_Sigma,40831_LOPAC_Sigma_C-130
CBP-0016957,CBP-0016957-01,A049,P19,137159-92-3,60840,CCc1cccc(c1)N(C)C(=N)Nc1cccc2ccccc12,Aptiganel,Lopac_Sigma,40847_LOPAC_Sigma_C 4238
CBP-0016973,CBP-0016973-01,A049,P20,147700-11-6,5353365,CN1C(=O)N(C)c2nc(n(c2C1=O)C)/C=C/c1cccc(c1)Cl,8-(3-Chlorostyryl)caffeine,Lopac_Sigma,40863_LOPAC_Sigma_C-197
CBP-0016989,CBP-0016989-01,A049,P21,1406-98-0,2562,CCN(CC)CCOCCOC(=O)C1(CCCC1)c1ccccc1,carbetapentane,Lopac_Sigma,40879_LOPAC_Sigma_C 4662
CBP-0017005,CBP-0017005-01,A049,P22,215923-54-9,2890,O=C(N1CCCCC1)c1ccc2c(c1)OCCO2,CX 546,Lopac_Sigma,40895_LOPAC_Sigma_C-271
CBP-0017006,CBP-0017006-01,A050,A01, ,11957503,CNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(nc(nc12)Cl)NCc1ccc(cc1)I,CHEMBL574181,Lopac_Sigma,40896_LOPAC_Sigma_C-277
CBP-0017022,CBP-0017022-01,A050,A02,18426-17-0,838674,Oc1ccc2c(c1O)-c1cccc3c1[C@@H](C2)N(CC3)CC=C,CHEMBL318111,Lopac_Sigma,40912_LOPAC_Sigma_D-042
CBP-0017038,CBP-0017038-01,A050,A03, ,2965,[NH3+]C(=N)N1CCc2ccccc2C1,DEBRISOQUIN SULFATE,Lopac_Sigma,40928_LOPAC_Sigma_D 1306
CBP-0017053,CBP-0017053-01,A050,A04,81405-11-0,1734,C[N+]1(C)CCC(CC1)OC(=O)C(c1ccccc1)c1ccccc1,"4-Diphenylacetoxy-1,1-dimethylpiperidinium",Lopac_Sigma,40944_LOPAC_Sigma_D-104
CBP-0017069,CBP-0017069-01,A050,A05,75472-92-3,39186,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(=O)C,diltiazem,Lopac_Sigma,40960_LOPAC_Sigma_D 2521
CBP-0017085,CBP-0017085-01,A050,A06,74885-25-9,156314,CCCN(CCC)CCc1c[nH]c2ccc(cc12)C(=O)N,Dipropyl-5-CT,Lopac_Sigma,40976_LOPAC_Sigma_D-132
CBP-0017100,CBP-0017100-01,A050,A07,162870-29-3,443586,N[C@H](C(=O)O)c1cc(cc(c1)O)O,"(S)-3,5-Dihydroxyphenylglycine",Lopac_Sigma,40992_LOPAC_Sigma_D 3689
CBP-0017113,CBP-0017113-01,A050,A08,26913-93-9,107715,CC(C)[C@@]1(NC(=O)[C@@H]2C[C@H]3[C@@H](Cc4c[nH]c5cccc3c45)N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O,Dihydroergocristine,Lopac_Sigma,41008_LOPAC_Sigma_D-155
CBP-0017129,CBP-0017129-01,A050,A09, ,54721898,[O-]C1=NC(=O)C(N1)(c1ccccc1)c1ccccc1,PHENYTOIN SODIUM,Lopac_Sigma,41024_LOPAC_Sigma_D 4505
CBP-0017144,CBP-0017144-01,A050,A10,77671-31-9,53708,CSc1ccc(cc1)C(=O)C1=C(C)NC(=O)N1,ENOXIMONE,Lopac_Sigma,41040_LOPAC_Sigma_E 1279
CBP-0017158,CBP-0017158-01,A050,A11,486-35-1,5280569,Oc1ccc2c(c1O)OC(=O)C=C2,daphnetin,Lopac_Sigma,41056_LOPAC_Sigma_D 5564
CBP-0017174,CBP-0017174-01,A050,A12,264218-23-7,4210951,Oc1ccc(cc1Cl)NC1=C(C(=O)NC1=O)c1ccccc1N(=O)=O,SB 415286,Lopac_Sigma,41072_LOPAC_Sigma_S 3567
CBP-0017188,CBP-0017188-01,A050,A13,93076-89-2,3012,CC1=C(CCN2CCC(=C(c3ccccc3)c3ccc(cc3)F)CC2)C(=O)N2C=CSC2=N1,diacylglycerol kinase inhibitor i,Lopac_Sigma,41088_LOPAC_Sigma_D 5919
CBP-0017202,CBP-0017202-01,A050,A14,163702-18-9,72241,CCCCCCCCCCCCCCCCCC(=O)NCC(COP(=O)([O-])OCC[N+](C)(C)C)OCC,rac-2-Ethoxy-3-octadecanamido-1-propylphosphocholine,Lopac_Sigma,41104_LOPAC_Sigma_E 3770
CBP-0017189,CBP-0017189-02,A050,A15, , , , ,Lopac_Sigma,41120_LOPAC_Sigma_D 7644
CBP-0017230,CBP-0017230-01,A050,A16,511-49-9,5983,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,physostigmine,Lopac_Sigma,41136_LOPAC_Sigma_E 8375
CBP-0017246,CBP-0017246-01,A050,A17, , ,CN(N=O)c1cc(ccc1O)O, ,Lopac_Sigma,41152_LOPAC_Sigma_D 8065
CBP-0017262,CBP-0017262-01,A050,A18, ,11973708,CCN1CC[C@@H](CNC(=O)c2c(c(cc(c2OC)Cl)CC)O)C1,S-(-)-Eticlopride hydrochloride,Lopac_Sigma,41168_LOPAC_Sigma_E-101
CBP-0017278,CBP-0017278-01,A050,A19,364-98-7,3019,CC1=Nc2ccc(cc2S(=O)(=O)N1)Cl,diazoxide,Lopac_Sigma,41184_LOPAC_Sigma_D 9035
CBP-0017294,CBP-0017294-01,A050,A20,100568-03-4,1548970,CNCC[C@@H](Oc1ccc(cc1)C(F)(F)F)c1ccccc1,(R)-Fluoxetine,Lopac_Sigma,41200_LOPAC_Sigma_F 1678
CBP-0017310,CBP-0017310-01,A050,A21, , ,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c2c(cccc21)O)O)O, ,Lopac_Sigma,41216_LOPAC_Sigma_D 9891
CBP-0017324,CBP-0017324-01,A050,A22,49562-28-9,3339,CC(C)OC(=O)C(C)(C)Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl,Fenofibrate,Lopac_Sigma,41232_LOPAC_Sigma_F 6020
CBP-0017007,CBP-0017007-01,A050,B01, ,3413,CC(=O)OC1C(O)C2C(C)(C)CCC(O)C2(C)C2(O)C(=O)CC(C)(OC12C)C=C,Forskolin Racemate,Lopac_Sigma,40897_LOPAC_Sigma_F 6886
CBP-0017023,CBP-0017023-01,A050,B02,5351-23-5,1742,NNC(=O)c1ccc(cc1)O,4-hydroxybenzhydrazide,Lopac_Sigma,40913_LOPAC_Sigma_H 9882
CBP-0017039,CBP-0017039-01,A050,B03,76815-58-2,3348,CC(C)(C(=O)O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1,fexofenadine,Lopac_Sigma,40929_LOPAC_Sigma_F 9427
CBP-0017054,CBP-0017054-01,A050,B04,82730-72-1,6603867,CCCN(CCC)[C@@H]1CCc2ccc(cc2C1)O,CHEMBL301559,Lopac_Sigma,40945_LOPAC_Sigma_H-168
CBP-0017070,CBP-0017070-01,A050,B05,76991-05-4,6603827,NC(=O)CNCCC(c1ccccc1)c1ccccc1,"N-(3,3-Diphenylpropyl)glycinamide",Lopac_Sigma,40961_LOPAC_Sigma_D 8816
CBP-0017086,CBP-0017086-01,A050,B06,144-48-9,3727,NC(=O)CI,iodoacetamide,Lopac_Sigma,40977_LOPAC_Sigma_I 1149
CBP-0017101,CBP-0017101-01,A050,B07,1072-13-5,3521,NC(=N)NCCSSCCNC(=N)N,guanidinoethyl disulfide,Lopac_Sigma,40993_LOPAC_Sigma_G 4788
CBP-0017114,CBP-0017114-01,A050,B08,109376-83-2,4216,Ic1cccc2c(cccc12)S(=O)(=O)N1CCCNCC1,ML-7,Lopac_Sigma,41009_LOPAC_Sigma_I 2764
CBP-0017130,CBP-0017130-01,A050,B09,74719-31-6,3765,OC(=O)C1=CCNCC1,isoguvacine,Lopac_Sigma,41025_LOPAC_Sigma_G-002
CBP-0017145,CBP-0017145-01,A050,B10,28822-58-4,3758,CC(C)CN1C(=O)N(C)C(=O)c2[nH]cnc21,3-Isobutyl-1-methylxanthine,Lopac_Sigma,41041_LOPAC_Sigma_I 5879
CBP-0017159,CBP-0017159-01,A050,B11,114460-08-1,3539,CC1Cc2cc3c(cc2C(=NN1)c1ccc(cc1)N)OCO3,GYKI 52895,Lopac_Sigma,41057_LOPAC_Sigma_G-120
CBP-0017175,CBP-0017175-01,A050,B12,54-92-2,3748,CC(C)NNC(=O)c1ccncc1,iproniazid,Lopac_Sigma,41073_LOPAC_Sigma_I 7627
CBP-0017203,CBP-0017203-01,A050,B14,80663-95-2,60860,NC(=N)NCc1cccc(c1)I,Iobenguane,Lopac_Sigma,41105_LOPAC_Sigma_I 9890
CBP-0017218,CBP-0017218-01,A050,B15,4294-45-5,443239,N[C@@H]([C@H](O)C(=O)O)C(=O)O,DL-threo-beta-Hydroxyaspartic acid,Lopac_Sigma,41121_LOPAC_Sigma_H 2775
CBP-0017231,CBP-0017231-01,A050,B16,102203-18-9,3692,NC(=N)SCCc1c[nH]cn1,imetit,Lopac_Sigma,41137_LOPAC_Sigma_I-135
CBP-0017247,CBP-0017247-01,A050,B17,67085-08-9,6238,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,17ALPHA-HYDROXYPROGESTERONE,Lopac_Sigma,41153_LOPAC_Sigma_H 5752
CBP-0017263,CBP-0017263-01,A050,B18,147395-65-1,3802,CN1CCN(CC1)C1=Nc2cccnc2Nc2ccc(cc21)C,JL-18,Lopac_Sigma,41169_LOPAC_Sigma_J-102
CBP-0017279,CBP-0017279-01,A050,B19,736075-03-9,6274,N[C@@H](Cc1c[nH]cn1)C(=O)O,L-histidine,Lopac_Sigma,41185_LOPAC_Sigma_H 8125
CBP-0017295,CBP-0017295-01,A050,B20,142273-20-9,3820,Brc1ccc2[nH]c-3c(c2c1)CC(=O)Nc1ccccc13,kenpaullone,Lopac_Sigma,41201_LOPAC_Sigma_K 3888
CBP-0016707,CBP-0016707-02,A050,B21,5908-99-6,3661,CN1C2CCC1CC(C2)OC(=O)C(CO)c1ccccc1,L-Hyoscyamine,Lopac_Sigma,41217_LOPAC_Sigma_H 9002
CBP-0017325,CBP-0017325-01,A050,B22, ,4605800,Fc1ccc2c(c[nH]c2c1)C1=CCN(CCN2c3cccc4c3N(CCC4)S2(=O)=O)CC1,"LY-367,265",Lopac_Sigma,41233_LOPAC_Sigma_L 2411
CBP-0017008,CBP-0017008-01,A050,C01,613-67-2,5685,COc1cccc(c1OCCNCC1COc2ccccc2O1)OC,WB-4101,Lopac_Sigma,40898_LOPAC_Sigma_D 0411
CBP-0017024,CBP-0017024-01,A050,C02,15180-02-6,2137,CCN1C=C(C(=O)O)C(=O)c2ccc(nc21)Cc1ccccc1,Amfonelic acid,Lopac_Sigma,40914_LOPAC_Sigma_D-044
CBP-0003128,CBP-0003128-02,A050,C03,132425-31-1,18283,CC1=CN([C@@H]2O[C@H](CO)C=C2)C(=O)NC1=O,stavudine,Lopac_Sigma,40930_LOPAC_Sigma_D 1413
CBP-0017055,CBP-0017055-01,A050,C04,31542-63-9,161713,CCCN1C(=O)N(CCC)c2ncn(c2C1=O)C,"1,3-Dipropyl-7-methylxanthine",Lopac_Sigma,40946_LOPAC_Sigma_D-108
CBP-0017071,CBP-0017071-01,A050,C05,125-71-3,3008,COc1ccc2c(c1)C13CCCCC3C(C2)N(C)CC1,Levomethorphan,Lopac_Sigma,40962_LOPAC_Sigma_D 2531
CBP-0017087,CBP-0017087-01,A050,C06,25983-13-5,1845,Clc1cc2c(cc1Cl)NC(=O)C(=O)N2,25983-13-5,Lopac_Sigma,40978_LOPAC_Sigma_D-133
CBP-0017102,CBP-0017102-01,A050,C07,6707-58-0,2993,Cc1cc(c2ccccc2[n+]1CCCCCCCCCC[n+]1c(cc(c2ccccc12)N)C)N,dequalinium,Lopac_Sigma,40994_LOPAC_Sigma_D 3768
CBP-0017115,CBP-0017115-01,A050,C08,863767-89-9,2944,Nc1cc(nc(n1)N)O,"2,4-Diamino-6-hydroxypyrimidine",Lopac_Sigma,41010_LOPAC_Sigma_D1920-6
CBP-0017131,CBP-0017131-01,A050,C09,3607-34-9,667477,CN(C)CC/C=C/1\c2ccccc2COc2ccccc21,doxepin,Lopac_Sigma,41026_LOPAC_Sigma_D 4526
CBP-0017146,CBP-0017146-01,A050,C10, ,11957527,COc1cc(cc(c1O)OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@@H](C)O[C@@]3(O)C[C@H]2O)c2cc3c(cc21)OCO3,Lopac0_000420,Lopac_Sigma,41042_LOPAC_Sigma_E 1383
CBP-0017160,CBP-0017160-01,A050,C11,314728-85-3,4223812,CCC(=O)N1CCN(CC1)C(=O)c1ccccc1,SUNIFIRAM,Lopac_Sigma,41058_LOPAC_Sigma_D 5689
CBP-0017176,CBP-0017176-01,A050,C12,2986-20-1,5139,CCSC(=N)N,s-ethylisothiourea,Lopac_Sigma,41074_LOPAC_Sigma_E 3149
CBP-0017189,CBP-0017189-01,A050,C13,54687-36-4,3114,CC(C)N(CCC(C(=O)N)(c1ccccc1)c1ccccn1)C(C)C,disopyramide,Lopac_Sigma,41090_LOPAC_Sigma_D 6035
CBP-0017204,CBP-0017204-01,A050,C14,25668-22-8,4362,CCN1C(=O)C=CC1=O,N-ethylmaleimide,Lopac_Sigma,41106_LOPAC_Sigma_E 3876
CBP-0017219,CBP-0017219-01,A050,C15,486-66-8,5281708,Oc1ccc(cc1)C1=COc2cc(ccc2C1=O)O,daidzein,Lopac_Sigma,41122_LOPAC_Sigma_D 7802
CBP-0017232,CBP-0017232-01,A050,C16,184241-44-9,176157,CCCN(CC1CC1)c1nc(nc(c1Cl)Nc1c(cc(cc1Cl)Cl)Cl)C,NBI 27914,Lopac_Sigma,41138_LOPAC_Sigma_N 3911
CBP-0017248,CBP-0017248-01,A050,C17,1166-01-4,114771,Nc1nc(c(nc1Cl)C(=O)NC(=N)NCc1ccc(c(c1)Cl)Cl)N,"3',4'-Dichlorobenzamil",Lopac_Sigma,41154_LOPAC_Sigma_D 8190
CBP-0017264,CBP-0017264-01,A050,C18, ,11957545,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(ncnc12)N[C@H]1CC2CCC1C2,(S)-ENBA,Lopac_Sigma,41170_LOPAC_Sigma_E-111
CBP-0017280,CBP-0017280-01,A050,C19,102-32-9,547,OC(=O)Cc1ccc(c(c1)O)O,"3,4-Dihydroxyphenylacetic acid",Lopac_Sigma,41186_LOPAC_Sigma_D 9128
CBP-0017296,CBP-0017296-01,A050,C20,917096-37-8,5324346,COCCCC/C(=N\OCCN)c1ccc(cc1)C(F)(F)F,fluvoxamine,Lopac_Sigma,41202_LOPAC_Sigma_F 2802
CBP-0017311,CBP-0017311-01,A050,C21,53463-78-8,3153,NC1CCc2cc(c(cc2C1)O)O,ADTN,Lopac_Sigma,41218_LOPAC_Sigma_D-002
CBP-0017326,CBP-0017326-01,A050,C22,5053-06-5,3344,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,fenspiride,Lopac_Sigma,41234_LOPAC_Sigma_F 6145
CBP-0017009,CBP-0017009-01,A050,D01,76824-35-6,3325,NC(=Nc1nc(cs1)CSCC/C(=N/S(=O)(=O)N)N)N,famotidine,Lopac_Sigma,40899_LOPAC_Sigma_F 6889
CBP-0017025,CBP-0017025-01,A050,D02,16478-59-4,3585,C[N+]1(C)CCOC(O)(C1)c1ccc(cc1)-c1ccc(cc1)C1(O)C[N+](C)(C)CCO1,Hemicholinium,Lopac_Sigma,40915_LOPAC_Sigma_H-108
CBP-0017040,CBP-0017040-01,A050,D03, ,6603854,C[C@@H](Cc1ccc(cc1)C=O)NC[C@@H](O)c1ccc(c(c1)NCO)O,NCGC00015454-01,Lopac_Sigma,40931_LOPAC_Sigma_F 9552
CBP-0017056,CBP-0017056-01,A050,D04,144625-67-2,4284721,COc1[nH]c2ccc(cc2c1C(=O)OCC1CCN(CCNS(=O)(=O)C)CC1)F,144625-67-2,Lopac_Sigma,40947_LOPAC_Sigma_G 6043
CBP-0017072,CBP-0017072-01,A050,D05,10238-21-8,3488,COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,Glibenclamide,Lopac_Sigma,40963_LOPAC_Sigma_G 0639
CBP-0017088,CBP-0017088-01,A050,D06, ,6603882,O=S(=O)(N1CCNCC1)c1cccc2ncccc12,NCGC00015549-01,Lopac_Sigma,40979_LOPAC_Sigma_I 1392
CBP-0017103,CBP-0017103-01,A050,D07,196808-23-8,6518171,CN(CCOc1ccc(cc1)C[C@H](Nc1ccccc1C(=O)c1ccccc1)C(=O)O)c1ccccn1,GW1929,Lopac_Sigma,40995_LOPAC_Sigma_G 5668
CBP-0017116,CBP-0017116-01,A050,D08,31758-99-3,1233,NC(C(=O)O)c1cc(no1)O,Ibotenic acid,Lopac_Sigma,41011_LOPAC_Sigma_I 2765
CBP-0017132,CBP-0017132-01,A050,D09,498-96-4,3532,OC(=O)C1=CCCNC1,Guvacine,Lopac_Sigma,41027_LOPAC_Sigma_G-007
CBP-0017147,CBP-0017147-01,A050,D10,79944-58-4,54459,C1CN=C(N1)C1COc2ccccc2O1,IDAZOXAN,Lopac_Sigma,41043_LOPAC_Sigma_I 6138
CBP-0017161,CBP-0017161-01,A050,D11, ,3505,COC(=O)N1CCN(C(CN2CCCC2)C1)C(=O)Cc1ccc(c(c1)Cl)Cl,GR-89696,Lopac_Sigma,41059_LOPAC_Sigma_G-133
CBP-0017099,CBP-0017099-02,A050,D12,2964-04-7,5808,CC(C)NC[C@@H](O)c1ccc(c(c1)O)O,2964-04-7,Lopac_Sigma,41075_LOPAC_Sigma_I 8005
CBP-0017190,CBP-0017190-01,A050,D13,300-84-5,107812,NCCS(=O)O,hypotaurine,Lopac_Sigma,41091_LOPAC_Sigma_H 1384
CBP-0017205,CBP-0017205-01,A050,D14,51146-56-6,39912,CC(C)Cc1ccc(cc1)[C@H](C)C(=O)O,(S)-(+)-Ibuprofen,Lopac_Sigma,41107_LOPAC_Sigma_I-106
CBP-0017233,CBP-0017233-01,A050,D16,5154-02-9,1340,Oc1cccc2c(nccc12)O,"1,5-isoquinolinediol",Lopac_Sigma,41139_LOPAC_Sigma_I-138
CBP-0017249,CBP-0017249-01,A050,D17, , ,CCCc1c(nn(c1-c1ccc(cc1)O)-c1ccc(cc1)O)-c1ccc(cc1)O, ,Lopac_Sigma,41155_LOPAC_Sigma_H 6036
CBP-0017265,CBP-0017265-01,A050,D18,46398-96-3,10255,CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O,kainic acid,Lopac_Sigma,41171_LOPAC_Sigma_K 0250
CBP-0017281,CBP-0017281-01,A050,D19,80300-08-9,1220,CCCN(CCC)C1CCc2cccc(c2C1)O,8-OH-Dpat,Lopac_Sigma,41187_LOPAC_Sigma_H 8250
CBP-0017297,CBP-0017297-01,A050,D20, ,11957575,CCN1C[C@]2(C)CC[C@H](O)[C@@]34C5C[C@H]6[C@H](O)C5[C@](O)(C[C@@H]6OC)[C@H](CC23)C14,Karakoline,Lopac_Sigma,41203_LOPAC_Sigma_K 4262
CBP-0017312,CBP-0017312-01,A050,D21,8027-02-9,785,Oc1ccc(cc1)O,hydroquinone,Lopac_Sigma,41219_LOPAC_Sigma_H 9003
CBP-0017327,CBP-0017327-01,A050,D22,379215-96-0,4282258,CC1(C)C(=O)N(CCN2CCC(CC2)C(=O)c2ccc(cc2)F)c2ccccc21,NCGC00015601-01,Lopac_Sigma,41235_LOPAC_Sigma_L 2536
CBP-0017010,CBP-0017010-01,A050,E01,2379-57-9,3899541,[O-][N+](=O)c1cc2c(cc1[N+](=O)[O-])NC(=O)C(=O)N2,dnqx,Lopac_Sigma,40900_LOPAC_Sigma_D 0540
CBP-0017026,CBP-0017026-01,A050,E02,36945-98-9,161930,Oc1ccccc1N1CC=C(NC1=O)c1cccc(c1)N(=O)=O,Icilin,Lopac_Sigma,40916_LOPAC_Sigma_I 9532
CBP-0017041,CBP-0017041-01,A050,E03, ,11957508,Fc1ccc(cc1)C(=O)CCCN1CCC(C=C1)N1C(=O)Nc2ccccc21,Lopac0_000346,Lopac_Sigma,40932_LOPAC_Sigma_D 1414
CBP-0017057,CBP-0017057-01,A050,E04,57808-66-9,3151,Clc1ccc2c(c1)NC(=O)N2C1CCN(CCCN2C(=O)Nc3ccccc32)CC1,domperidone,Lopac_Sigma,40948_LOPAC_Sigma_D-122
CBP-0017073,CBP-0017073-01,A050,E05, ,3272300,O=C(OCCN1CCCCC1)c1c[nH]c2ccccc12,SB 203186,Lopac_Sigma,40964_LOPAC_Sigma_S 0443
CBP-0017089,CBP-0017089-01,A050,E06,14114-46-6,99562,CN1C(=O)N(CC#C)C(=O)c2c1ncn2C,DMPX,Lopac_Sigma,40980_LOPAC_Sigma_D-134
CBP-0017104,CBP-0017104-01,A050,E07,469-21-6,3162,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,doxylamine,Lopac_Sigma,40996_LOPAC_Sigma_D 3775
CBP-0017117,CBP-0017117-01,A050,E08,66640-93-5,3009,NCCCC(N)(C(F)F)C(=O)O,EFLORNITHINE,Lopac_Sigma,41012_LOPAC_Sigma_D-193
CBP-0017133,CBP-0017133-01,A050,E09,26328-11-0,688095,CC(C)NC[C@H](O)COc1cccc2[nH]ccc12,S(-)-Pindolol,Lopac_Sigma,41028_LOPAC_Sigma_P-152
CBP-0017148,CBP-0017148-01,A050,E10,70641-51-9,6918215,CCCCCCCCCCCCCCCCCCOC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC,ET-18-OCH3,Lopac_Sigma,41044_LOPAC_Sigma_E 1779
CBP-0017162,CBP-0017162-01,A050,E11,3317-61-1,1774,CC1(C)CCC=[N+]1[O-],"5,5-Dimethyl-1-pyrroline N-oxide",Lopac_Sigma,41060_LOPAC_Sigma_D 5766
